,MAC,TotalTimePlaying,# of days
0,B046FCA6A074,0.0,499
1,B046FCA6A27E,75385.50000000004,406
2,B046FCA6A450,34994.1,214
3,B046FCA6A47D,8822.399999999998,532
4,B046FCA6A4F6,352161.89999999985,538
5,B046FCA6A58E,16978.199999999993,622
6,B046FCA6A675,62224.20000000001,64
7,B046FCA6A684,5791.8,4
8,B046FCA6A6F0,0.0,610
9,B046FCA6A7D7,28486.50000000001,597
10,B046FCA6A800,8757.3,545
11,B046FCA6A8AE,78471.00000000003,621
12,B046FCA6A928,0.0,587
13,B046FCA6AA28,11341.5,435
14,B046FCA6AA45,34394.700000000004,604
15,B046FCA6AB58,0.0,509
16,B046FCA6ABC9,46644.3,643
17,B046FCA6ABCA,1196.7,616
18,B046FCA6AD0E,2893.8,603
19,B046FCA6ADC5,30964.5,595
20,B046FCA6AE9B,63601.200000000026,630
21,B046FCA6AF7A,9662.999999999998,602
22,B046FCA6AFB8,8250.0,551
23,B046FCA6B0F7,66542.09999999999,381
24,B046FCA6B12C,7194.9,608
25,B046FCA6B160,36469.2,32
26,B046FCA6B216,152039.1,608
27,B046FCA6F096,2639.7000000000007,16
28,B046FCA7B750,35249.10000000001,550
29,B046FCA7B801,30760.8,554
30,B046FCA7B852,200934.3,543
31,B046FCA7B999,6161.1,473
32,B046FCA7B99A,66667.5,266
33,B046FCA7BA27,98419.8,534
34,B046FCA7BCB5,12661.8,504
35,B046FCA7BDF0,0.0,575
36,B046FCA7BF1C,9141.6,487
37,B046FCA7C1E9,0.0,553
38,B046FCA7C243,63.6,462
39,B046FCA7C251,2049.0,557
40,B046FCA7C32E,101865.60000000003,559
41,B046FCA7C34C,5591.7,510
42,B046FCA7C574,20212.5,527
43,B046FCA7C5B3,6274.5,976
44,B046FCA7C5EE,40835.1,507
45,B046FCA7C5EF,21942.0,512
46,B046FCA7C70C,42249.599999999984,557
47,B046FCA7C7A2,85691.69999999997,562
48,B046FCA7C823,105340.5,556
49,B046FCA7C881,135847.5,490
50,B046FCA7C974,102832.8,554
51,B046FCA7CA69,28932.9,560
52,B046FCA7CA86,14668.5,569
53,B046FCA85F41,23192.4,522
54,B046FCA85F7E,70141.20000000001,534
55,B046FCA86066,478.5,302
56,B046FCA860BC,1785.3,66
57,B046FCA860CC,236271.9,480
58,B046FCA862C8,15955.2,466
59,B046FCA862DF,0.0,525
60,B046FCA863C9,6471.9,506
61,B046FCA86510,27231.3,506
62,B046FCA86530,0.0,508
63,B046FCA865A8,136742.10000000006,528
64,B046FCA86716,32370.000000000015,538
65,B046FCA868CA,70121.10000000003,531
66,B046FCA8693E,68979.6,512
67,B046FCA8697A,1231.2,237
68,B046FCA86A56,89931.90000000005,508
69,B046FCA86AE2,64004.400000000016,504
70,B046FCA86B55,12894.3,508
71,B046FCA86BF0,57691.49999999999,536
72,B046FCA86C3D,2470.2,505
73,B046FCA86C5A,69471.0,511
74,B046FCA86D3A,15689.1,545
75,B046FCA86DE2,20376.0,528
76,B046FCA86E0E,13973.399999999998,387
77,B046FCA92220,4501.8,460
78,B046FCA9223C,7081.5,458
79,B046FCA92264,1471.8,516
80,B046FCA9230C,234224.4000000001,532
81,B046FCA923E2,31475.1,514
82,B046FCA95D00,72732.90000000001,776
83,B046FCA95D96,75130.50000000003,492
84,B046FCA95DB5,63757.2,489
85,B046FCA95E67,106161.9,503
86,B046FCA95E92,144234.2999999999,492
87,B046FCA97770,55984.8,436
88,B046FCA978B9,46439.99999999999,131
89,B046FCA978F4,2266.5,261
90,B046FCA9797E,0.0,502
91,B046FCA97980,10.5,502
92,B046FCA979D4,0.0,510
93,B046FCA97A77,98423.9999999999,508
94,B046FCA97AA1,902.4,485
95,B046FCA97C27,17253.3,497
96,B046FCA97C68,191492.7,476
97,B046FCA97CCE,115833.3,500
98,B046FCA97D1D,122785.2,231
99,B046FCA97D7E,34792.5,478
100,B046FCA97F5F,18528.3,490
101,B046FCA97FCC,0.0,480
102,B046FCA97FE7,58215.0,485
103,B046FCA98079,41834.1,494
104,B046FCA980B7,2481.3,485
105,B046FCA980ED,28175.4,494
106,B046FCA98109,0.0,464
107,B046FCA981B6,13510.2,0
108,B046FCA9829E,0.0,488
109,B046FCA982F8,52824.6,473
110,B046FCA9836E,60446.40000000001,437
111,B046FCA98458,728.0999999999998,500
112,B046FCA984F2,79797.60000000003,483
113,B046FCA98507,25753.2,499
114,B046FCA98571,83334.90000000001,473
115,B046FCA98683,20592.0,479
116,B046FCA98769,29404.799999999992,474
117,B046FCA98799,5224.5,399
118,B046FCA9881A,29058.299999999992,462
119,B046FCA988A7,162431.39999999994,413
120,B046FCA988C7,983.7,170
121,B046FCA98934,4345.5,470
122,B046FCA98BD6,76797.59999999999,477
123,B046FCA98C13,117526.80000000002,312
124,B046FCA98D2F,0.0,509
125,B046FCA98E44,14016.6,504
126,B046FCA99179,23479.5,463
127,B046FCA9923D,53415.0,506
128,B046FCA992D2,25429.5,507
129,B046FCA9937B,64113.9,501
130,B046FCA994AB,76560.3,499
131,B046FCA995F5,0.0,475
132,B046FCA99674,48820.8,504
133,B046FCA997F4,47885.99999999998,487
134,B046FCA99896,720.9,529
135,B046FCA999B9,40935.60000000001,496
136,B046FCA99B0C,40064.4,476
137,B046FCA99B5D,140961.60000000006,96
138,B046FCAA0110,32547.9,474
139,B046FCAA036A,0.0,32
140,B046FCAA0398,115254.90000000002,460
141,B046FCAA0430,3200.4,437
142,B046FCAA047B,26310.9,481
143,B046FCAA0535,127879.80000000002,431
144,B046FCAA0566,6043.800000000001,431
145,B046FCAA0892,80617.8,423
146,B046FCAA093A,1680.9,459
147,B046FCAA09A6,71670.29999999999,154
148,B046FCAA0AA2,96870.6,465
149,B046FCAA0BA7,31770.899999999994,464
150,B046FCAA0C13,5847.0,465
151,B046FCAA0CB8,15137.1,474
152,B046FCAA0EF2,105632.69999999997,448
153,B046FCAA0F1B,7979.700000000002,449
154,B046FCAA0FD3,0.0,422
155,B046FCAA124F,55406.10000000001,479
156,B046FCAA12B2,10068.3,465
157,B046FCAA12C9,23943.3,440
158,B046FCAA13EB,51882.60000000001,420
159,B046FCAA141C,33427.2,422
160,B046FCAA1452,114212.4,427
161,B046FCAA14FD,1122.3,427
162,B046FCAA1546,4330.5,446
163,B046FCAA1564,2229.0,420
164,B046FCAA1621,44277.00000000001,455
165,B046FCAA1659,143077.8,495
166,B046FCAA173E,9422.4,443
167,B046FCAA174F,0.0,422
168,B046FCAA18E9,136543.8,449
169,B046FCAA192F,113909.1,424
170,B046FCAA193C,83532.59999999998,451
171,B046FCAA1959,2170.2,385
172,B046FCAA1C30,0.0,405
173,B046FCAA1C39,14531.399999999998,430
174,B046FCAA1C7D,205406.4,443
175,B046FCAA1F01,50569.49999999999,361
176,B046FCAA1F4D,16002.600000000002,379
177,B046FCAA1F73,4480.2,466
178,B046FCAA2002,34957.8,468
179,B046FCAA2048,22080.899999999994,464
180,B046FCAA20DA,44576.4,468
181,B046FCAA2111,0.0,475
182,B046FCAA2180,0.0,479
183,B046FCAA253A,0.0,464
184,B046FCAA27B9,0.0,399
185,B046FCAA5FFB,1626.6,451
186,B046FCAAF792,8345.4,462
187,B046FCAAF97A,39850.500000000015,472
188,B046FCAAF9C4,47079.6,453
189,B046FCAAFA40,41192.4,453
190,B046FCAAFA8B,116938.20000000006,450
191,B046FCAAFB63,25774.8,424
192,B046FCAAFC93,80.1,818
193,B046FCAAFC99,71471.69999999997,443
194,B046FCAAFCAB,11720.7,428
195,B046FCAAFCB3,1594.8,428
196,B046FCAAFCB4,4038.3,428
