,MAC,TotalTimePlaying
0,B046FCA69EA6,82197.39700000004
1,B046FCA6A074,251861.94000000012
2,B046FCA6A27E,97710.08300000001
3,B046FCA6A450,64891.025
4,B046FCA6A47D,85549.871
5,B046FCA6A4F6,18194.526000000005
6,B046FCA6A58E,329895.3260000002
7,B046FCA6A61F,100981.06799999996
8,B046FCA6A675,29251.439
9,B046FCA6A684,554686.7599999995
10,B046FCA6A6F0,70.54899999999998
11,B046FCA6A7D7,254477.30399999986
12,B046FCA6A800,129400.15199999994
13,B046FCA6A8AE,92177.60899999998
14,B046FCA6A928,23.717
15,B046FCA6AA1F,103474.143
16,B046FCA6AA28,192104.80799999987
17,B046FCA6AA45,459519.2499999997
18,B046FCA6AB58,154.768
19,B046FCA6AB93,0.0
20,B046FCA6ABC9,156657.14299999998
21,B046FCA6ABCA,1554.549
22,B046FCA6AD0E,19149.355000000003
23,B046FCA6ADC5,81544.93100000008
24,B046FCA6AE9B,727976.516
25,B046FCA6AF7A,106007.67599999999
26,B046FCA6AFB8,607.438
27,B046FCA6B0BD,0.0
28,B046FCA6B0F7,127086.85800000008
29,B046FCA6B12C,41085.109
30,B046FCA6B160,2091488.9259999963
31,B046FCA6B1C2,29393.682
32,B046FCA6B216,43037.726999999984
33,B046FCA6F096,2104911.266999999
34,B046FCA7B750,91365.77699999999
35,B046FCA7B801,223308.69099999988
36,B046FCA7B852,63979.72899999997
37,B046FCA7B999,149979.10599999988
38,B046FCA7B99A,163806.87299999993
39,B046FCA7BA27,326458.852
40,B046FCA7BAE6,1270161.394
41,B046FCA7BCB5,3573533.806000001
42,B046FCA7BD3A,32396.867000000002
43,B046FCA7BDF0,0.0
44,B046FCA7BE63,70941.01299999999
45,B046FCA7BF1C,303213.104
46,B046FCA7BFFC,159746.14800000002
47,B046FCA7C1DD,32589.386000000002
48,B046FCA7C1E9,39474.323
49,B046FCA7C243,467205.66399999976
50,B046FCA7C251,111245.54999999996
51,B046FCA7C32E,35866.37500000001
52,B046FCA7C34C,735544.829
53,B046FCA7C574,22092.034
54,B046FCA7C5B3,16789.071999999996
55,B046FCA7C5EE,74120.44300000004
56,B046FCA7C5EF,50262.95199999997
57,B046FCA7C70C,138487.90799999994
58,B046FCA7C7A2,101930.15000000002
59,B046FCA7C823,12294.681
60,B046FCA7C881,39618.52899999998
61,B046FCA7C974,27137.237999999998
62,B046FCA7CA69,12107.866000000002
63,B046FCA7CA86,955999.9579999992
64,B046FCA85F41,21938.606000000003
65,B046FCA85F7E,560052.3809999998
66,B046FCA85F8F,275617.32399999996
67,B046FCA86066,6095.34
68,B046FCA860BC,57120.61200000002
69,B046FCA860CC,78522.34100000001
70,B046FCA86246,14697.059
71,B046FCA862C8,22712.75
72,B046FCA862DF,1435.8010000000002
73,B046FCA863C9,37611.277
74,B046FCA86474,599012.951
75,B046FCA86510,283316.343
76,B046FCA86530,73293.85999999999
77,B046FCA865A8,96729.96700000003
78,B046FCA86716,16108.130999999998
79,B046FCA868CA,214254.29
80,B046FCA8693E,79827.80200000005
81,B046FCA8697A,57305.26
82,B046FCA86A56,4377.566
83,B046FCA86AE2,21702.747000000007
84,B046FCA86B55,160491.51299999998
85,B046FCA86BF0,60391.102999999996
86,B046FCA86C10,17830.289
87,B046FCA86C3D,131485.99400000006
88,B046FCA86C5A,511448.359
89,B046FCA86D3A,277312.49100000004
90,B046FCA86DE2,87481.02900000001
91,B046FCA86E0E,197144.1889999999
92,B046FCA92220,502713.75899999996
93,B046FCA9223C,4575.901
94,B046FCA92264,121159.36400000002
95,B046FCA9226F,44091.049000000006
96,B046FCA9230C,91814.64
97,B046FCA923E2,202297.29699999987
98,B046FCA92488,0.0
99,B046FCA95D00,43782.205999999984
100,B046FCA95D96,340872.08200000017
101,B046FCA95DB5,37711.116
102,B046FCA95E67,334732.35700000013
103,B046FCA95E92,52182.712
104,B046FCA97770,123965.459
105,B046FCA978B9,568306.2779999999
106,B046FCA978F4,125603.35199999994
107,B046FCA9797E,29933.343999999986
108,B046FCA97980,1236.6480000000001
109,B046FCA979D4,159384.08
110,B046FCA97A77,11459.043999999998
111,B046FCA97AA1,4828.651
112,B046FCA97C27,1011967.9700000004
113,B046FCA97C68,52954.96900000001
114,B046FCA97CCE,122051.06799999994
115,B046FCA97CDE,3529.844
116,B046FCA97D1D,8393.644000000004
117,B046FCA97D7E,185080.08799999996
118,B046FCA97F5F,142872.20200000005
119,B046FCA97F7E,0.0
120,B046FCA97FCC,187136.453
121,B046FCA97FE7,85667.81999999995
122,B046FCA98014,29394.07
123,B046FCA98079,36044.820000000014
124,B046FCA980B7,13.103
125,B046FCA980ED,40212.92699999999
126,B046FCA980F2,5511.321999999999
127,B046FCA98109,13879.030000000004
128,B046FCA981B6,557440.1859999996
129,B046FCA9829E,93057.88400000002
130,B046FCA982F8,72047.065
131,B046FCA9836E,86080.88700000006
132,B046FCA98458,107013.273
133,B046FCA984F2,53199.74899999998
134,B046FCA98507,87016.45599999996
135,B046FCA98571,274161.1270000001
136,B046FCA985F8,26662.984
137,B046FCA98683,60554.821
138,B046FCA98769,212689.812
139,B046FCA98799,5276.1399999999985
140,B046FCA9881A,97703.06000000004
141,B046FCA988A7,98829.851
142,B046FCA988C7,707668.8319999998
143,B046FCA98934,31177.676
144,B046FCA98BD6,95092.85
145,B046FCA98C13,20434.966000000004
146,B046FCA98C4B,0.0
147,B046FCA98C4C,20695.815000000013
148,B046FCA98D2F,145919.11399999994
149,B046FCA98E44,46256.12099999999
150,B046FCA98F8C,6154.718999999999
151,B046FCA98FF2,13951.900999999998
152,B046FCA99179,45269.172
153,B046FCA9923D,57366.96599999999
154,B046FCA992D2,172202.74599999996
155,B046FCA9937B,24922.602999999985
156,B046FCA994AB,914715.4599999998
157,B046FCA995F5,10011.994
158,B046FCA99674,97868.04200000004
159,B046FCA997F4,14517.261999999999
160,B046FCA99896,251950.471
161,B046FCA999B9,69511.32499999997
162,B046FCA99B0C,19585.29
163,B046FCA99B5D,258482.38899999988
164,B046FCAA0110,67297.81799999997
165,B046FCAA036A,436828.64
166,B046FCAA0398,77280.16100000001
167,B046FCAA0430,589040.942
168,B046FCAA047B,552277.022
169,B046FCAA0535,89523.302
170,B046FCAA0566,54953.97100000001
171,B046FCAA0632,0.0
172,B046FCAA0830,50473.547999999995
173,B046FCAA0892,63567.73399999997
174,B046FCAA093A,59129.75500000001
175,B046FCAA09A6,75481.29100000001
176,B046FCAA0AA2,306955.10999999987
177,B046FCAA0BA7,262661.49099999986
178,B046FCAA0C13,348057.88900000014
179,B046FCAA0C50,0.0
180,B046FCAA0C52,19.695
181,B046FCAA0CB8,79523.69400000009
182,B046FCAA0D00,2701.361
183,B046FCAA0EF2,136140.405
184,B046FCAA0F1B,1637416.8269999996
185,B046FCAA0FD3,239.706
186,B046FCAA124F,52574.835
187,B046FCAA12B2,102551.65800000004
188,B046FCAA12C9,124784.56499999992
189,B046FCAA13EB,86927.41599999997
190,B046FCAA141C,311686.39000000013
191,B046FCAA1452,249118.874
192,B046FCAA14FD,162.194
193,B046FCAA1546,59618.059999999954
194,B046FCAA1564,53673.25699999999
195,B046FCAA15D7,11.163
196,B046FCAA1621,191178.301
197,B046FCAA163A,1040484.347
198,B046FCAA1659,39553.133
199,B046FCAA173E,34930.005000000005
200,B046FCAA174F,64315.67699999991
201,B046FCAA18E9,198107.34200000012
202,B046FCAA192F,25954.805000000004
203,B046FCAA193C,61289.80400000003
204,B046FCAA1959,99453.77900000008
205,B046FCAA1A43,18783.586
206,B046FCAA1AEE,0.0
207,B046FCAA1AFC,57266.99000000001
208,B046FCAA1C30,679540.84
209,B046FCAA1C39,53947.97
210,B046FCAA1C74,61473.91
211,B046FCAA1C7D,9751.798
212,B046FCAA1D28,696868.6960000002
213,B046FCAA1F01,130171.86800000006
214,B046FCAA1F4D,1182.7510000000002
215,B046FCAA1F73,157100.33000000007
216,B046FCAA2000,126815.79599999994
217,B046FCAA2002,256957.1850000001
218,B046FCAA2048,49220.562000000005
219,B046FCAA20DA,183725.766
220,B046FCAA2111,22829.286
221,B046FCAA2175,0.0
222,B046FCAA2180,106531.31300000001
223,B046FCAA2258,54955.93700000003
224,B046FCAA243F,672.561
225,B046FCAA2453,0.0
226,B046FCAA253A,408.449
227,B046FCAA2645,73483.685
228,B046FCAA27B9,52202.862
229,B046FCAA5FFB,104589.691
230,B046FCAAF792,55029.91100000001
231,B046FCAAF872,3525.715
232,B046FCAAF97A,110911.58000000005
233,B046FCAAF9C4,795620.0970000003
234,B046FCAAFA40,201876.573
235,B046FCAAFA8B,65343.75400000001
236,B046FCAAFADB,491053.4260000006
237,B046FCAAFB63,86483.55599999991
238,B046FCAAFBF8,4618.415
239,B046FCAAFC93,358418.966
240,B046FCAAFC99,123397.5929999999
241,B046FCAAFCAB,122134.62899999994
242,B046FCAAFCB3,89952.08099999996
243,B046FCAAFCB4,169995.91700000007
244,B046FCAAFCB5,185845.93700000012
245,B046FCAAFCB6,133633.68200000006
246,B046FCAAFCB7,40839.926
247,B046FCAAFCD0,180555.233
248,B046FCAAFDC5,12.575
249,B046FCAAFE95,57867.61899999998
250,B046FCAAFEBF,38947.6
251,B046FCAAFEC9,35232.626000000004
252,B046FCAAFF3D,29394.24
253,B046FCAAFF56,14885.017000000002
254,B046FCAAFFAA,33633.78300000002
255,B046FCAB0062,303.1740000000001
256,B046FCAB024C,136917.9189999999
257,B046FCAB02A5,147464.02399999998
258,B046FCAB0310,162939.52800000002
259,B046FCAB0320,0.0
260,B046FCAB0422,29394.091
261,B046FCAB0529,19745.954
262,B046FCAB0538,128465.05699999999
263,B046FCAB0707,98455.55600000004
264,B046FCAB077F,255248.71899999995
265,B046FCAB0781,112137.17500000002
266,B046FCAB07F9,33155.856
