MAC	# of days
FBOXB046FCB79E0B	20
FBOXB046FCB3528B	181
FBOXB046FCAAFB73	426
FBOXB046FCAAFB72	426
FBOXB046FCAA2085	429
FBOXB046FCAA0669	380
FBOXB046FCB343BF	376
FBOXB046FCAC0CFB	376
FBOXB046FCABED45	378
FBOXB046FCAD80FC	305
FBOXB046FCB1E3FE	255
FBOXB046FCB27666	210
FBOXB046FCB42341	142
FBOXB046FCB6D6B2	46
FBOXB046FCB6D4BC	46
FBOXB046FCB6D4B6	46
FBOXB046FCA6A3F4	583
FBOXB046FCA86BD5	493
FBOXB046FCABE3BC	425
FBOXB046FCAC125F	374
FBOXB046FCACB2F7	301
FBOXB046FCADC196	299
FBOXB046FCA6AC91	251
FBOXB046FCB297AA	210
FBOXB046FCB2949E	210
FBOXB046FCB692DD	212
FBOXB046FCA86C4C	492
FBOXB046FCAB797F	420
FBOXB046FCAA0FD3	422
FBOXB046FCADD7FB	298
FBOXB046FCABEA62	249
FBOXB046FCB3B087	209
FBOXB046FCB202A4	205
FBOXB046FCB401BC	109
FBOXB046FCB6A26B	71
FBOXB046FCB6187B	71
FBOXB046FCB6A26C	71
FBOX001C55007967	1056
FBOX001C55007A8F	1049
FBOXB046FCA7BDA4	483
FBOXB046FCACAA71	368
FBOXB046FCACAA04	367
FBOXB046FCABDE4E	371
FBOXB046FCB4BC51	296
FBOXB046FCB19582	251
FBOXB046FCB45D56	251
FBOXB046FCB255C7	210
FBOXB046FCB30ADD	171
FBOXB046FCB6C54D	173
FBOXB046FCB31822	173
FBOXB046FCB37ABE	173
FBOXB046FCB3F8D5	137
FBOXB046FCB49B7D	110
FBOXB046FCB3B72E	110
FBOXB046FCB2939A	110
FBOXB046FCB61256	74
FBOXB046FCB7844D	42
FBOXB046FCB7113C	47
FBOXB046FCB7DEB4	41
FBOXB046FCB710AD	11
FBOXB046FCB79450	12
FBOX001C55007CF7	1018
FBOX001C55007BFF	1014
FBOXB046FCA86CB8	486
FBOXB046FCA860CC	480
FBOXB046FCAA17D9	418
FBOX001C5500FDA7	415
FBOX001C5500FC2F	415
FBOX001C5500F4F7	415
FBOXB046FCACACDF	366
FBOXB046FCAC1878	367
FBOXB046FCAC1B13	366
FBOXB046FCB23E2C	205
FBOXB046FCB21ECB	206
FBOXB046FCB2C555	204
FBOXB046FCB16947	206
FBOXB046FCB52DA3	110
FBOXB046FCB69296	75
FBOXB046FCB503F8	76
FBOXB046FCB5165A	76
FBOXB046FCB5034E	76
FBOXB046FCB61B39	73
FBOXB046FCB5196F	40
FBOXB046FCAECDFE	43
FBOXB046FCB7D755	43
FBOXB046FCB717E2	43
FBOXB046FCB7E79E	13
FBOXB046FCB7E79F	13
FBOXB046FCB6BAFC	14
FBOXB046FCB80511	14
FBOXB046FCAB0320	413
FBOXB046FCAB031F	413
FBOXB046FCAC7E52	366
FBOXB046FCAB687B	366
FBOXB046FCAB87F3	362
FBOXB046FCB15B10	244
FBOXB046FCB2DBA2	111
FBOXB046FCAE3A08	73
FBOXB046FCB60BB8	72
FBOX001C55010074	566
FBOXB046FCA995F5	475
FBOXB046FCAB7492	411
FBOXB046FCA988A7	413
FBOXB046FCAB0EA3	409
FBOXB046FCAD1A72	411
FBOXB046FCAC792D	358
FBOXB046FCACA75C	362
FBOXB046FCAD0D61	288
FBOX001C5500C8F3	288
FBOXB046FCB1757F	241
FBOXB046FCAECB22	203
FBOXB046FCB237F9	204
FBOXB046FCB17BDF	169
FBOXB046FCB3C270	137
FBOXB046FCB3C2C4	137
FBOXB046FCB4F6FC	106
FBOXB046FCB64A6B	40
FBOX001C55007C49	986
FBOXB046FCB3C0F6	364
FBOXB046FCAC86C2	364
FBOXB046FCAB87E2	361
FBOXB046FCADDE68	288
FBOXB046FCAE581B	291
FBOXB046FCAED37C	246
FBOXB046FCB2B062	202
FBOXB046FCADB5C6	203
FBOXB046FCB44CA6	168
FBOXB046FCB2D624	168
FBOXB046FCADB583	168
FBOXB046FCB45D07	137
FBOXB046FCB520D4	107
FBOXB046FCB608C1	71
FBOXB046FCB58A47	9
FBOXB046FCA992DC	399
FBOXB046FCA992E3	398
FBOXB046FCAF1EB2	405
FBOXB046FCACAB79	356
FBOXB046FCAE666A	283
FBOXB046FCADB974	284
FBOXB046FCAED1AB	236
