MAC,RealTimePlaying
B046FCA6A074,0.0
B046FCA6A27E,75385.50000000004
B046FCA6A450,34994.1
B046FCA6A47D,8822.399999999998
B046FCA6A4F6,352161.89999999985
B046FCA6A58E,16978.199999999997
B046FCA6A675,62224.20000000001
B046FCA6A684,5791.8
B046FCA6A6F0,0.0
B046FCA6A7D7,28486.500000000007
B046FCA6A800,8757.3
B046FCA6A8AE,78471.00000000003
B046FCA6A928,0.0
B046FCA6AA28,11341.5
B046FCA6AA45,34394.700000000004
B046FCA6AB58,0.0
B046FCA6ABC9,46644.299999999996
B046FCA6ABCA,1196.7
B046FCA6AD0E,2893.8
B046FCA6ADC5,30964.499999999996
B046FCA6AE9B,63601.20000000002
B046FCA6AF7A,9662.999999999998
B046FCA6AFB8,8250.0
B046FCA6B0F7,66542.09999999999
B046FCA6B12C,7194.9
B046FCA6B160,36469.2
B046FCA6B216,152039.1
B046FCA6F096,2639.7000000000003
B046FCA7B750,35249.100000000006
B046FCA7B801,30760.799999999996
B046FCA7B852,200934.3
B046FCA7B999,6161.1
B046FCA7B99A,66667.5
B046FCA7BA27,98419.8
B046FCA7BCB5,12661.800000000001
B046FCA7BDF0,0.0
B046FCA7BF1C,9141.599999999999
B046FCA7C1E9,0.0
B046FCA7C243,63.6
B046FCA7C251,2049.0
B046FCA7C32E,101865.60000000005
B046FCA7C34C,5591.7
B046FCA7C574,20212.5
B046FCA7C5B3,6274.5
B046FCA7C5EE,40835.1
B046FCA7C5EF,21941.999999999996
B046FCA7C70C,42249.59999999999
B046FCA7C7A2,85691.69999999998
B046FCA7C823,105340.50000000001
B046FCA7C881,135847.5
B046FCA7C974,102832.79999999999
B046FCA7CA69,28932.899999999998
B046FCA7CA86,14668.5
B046FCA85F41,23192.4
B046FCA85F7E,70141.20000000001
B046FCA86066,478.5
B046FCA860BC,1785.3
B046FCA860CC,236271.90000000002
B046FCA862C8,15955.2
B046FCA862DF,0.0
B046FCA863C9,6471.9
B046FCA86510,27231.3
B046FCA86530,0.0
B046FCA865A8,136742.10000000006
B046FCA86716,32370.00000000001
B046FCA868CA,70121.10000000002
B046FCA8693E,68979.6
B046FCA8697A,1231.2
B046FCA86A56,89931.90000000005
B046FCA86AE2,64004.400000000016
B046FCA86B55,12894.3
B046FCA86BF0,57691.499999999985
B046FCA86C3D,2470.2
B046FCA86C5A,69471.0
B046FCA86D3A,15689.099999999999
B046FCA86DE2,20376.0
B046FCA86E0E,13973.399999999998
B046FCA92220,4501.8
B046FCA9223C,7081.5
B046FCA92264,1471.8
B046FCA9230C,234224.40000000008
B046FCA923E2,31475.1
B046FCA95D00,72732.90000000001
B046FCA95D96,75130.50000000003
B046FCA95DB5,63757.2
B046FCA95E67,106161.9
B046FCA95E92,144234.2999999999
B046FCA97770,55984.799999999996
B046FCA978B9,46439.99999999999
B046FCA978F4,2266.5
B046FCA9797E,0.0
B046FCA97980,10.5
B046FCA979D4,0.0
B046FCA97A77,98423.9999999999
B046FCA97AA1,902.4
B046FCA97C27,17253.3
B046FCA97C68,191492.69999999998
B046FCA97CCE,115833.29999999999
B046FCA97D1D,122785.2
B046FCA97D7E,34792.5
B046FCA97F5F,18528.3
B046FCA97FCC,0.0
B046FCA97FE7,58215.0
B046FCA98079,41834.1
B046FCA980B7,2481.3
B046FCA980ED,28175.4
B046FCA98109,0.0
B046FCA981B6,13510.2
B046FCA9829E,0.0
B046FCA982F8,52824.6
B046FCA9836E,60446.40000000001
B046FCA98458,728.0999999999999
B046FCA984F2,79797.60000000002
B046FCA98507,25753.2
B046FCA98571,83334.90000000001
B046FCA98683,20592.0
B046FCA98769,29404.799999999992
B046FCA98799,5224.5
B046FCA9881A,29058.299999999992
B046FCA988A7,162431.39999999997
B046FCA988C7,983.7
B046FCA98934,4345.5
B046FCA98BD6,76797.59999999999
B046FCA98C13,117526.80000000002
B046FCA98D2F,0.0
B046FCA98E44,14016.6
B046FCA99179,23479.5
B046FCA9923D,53415.0
B046FCA992D2,25429.5
B046FCA9937B,64113.9
B046FCA994AB,76560.3
B046FCA995F5,0.0
B046FCA99674,48820.8
B046FCA997F4,47885.99999999998
B046FCA99896,720.9
B046FCA999B9,40935.600000000006
B046FCA99B0C,40064.4
B046FCA99B5D,140961.60000000003
B046FCAA0110,32547.9
B046FCAA036A,0.0
B046FCAA0398,115254.90000000002
B046FCAA0430,3200.3999999999996
B046FCAA047B,26310.899999999998
B046FCAA0535,127879.80000000002
B046FCAA0566,6043.800000000001
B046FCAA0892,80617.8
B046FCAA093A,1680.8999999999999
B046FCAA09A6,71670.29999999999
B046FCAA0AA2,96870.6
B046FCAA0BA7,31770.899999999994
B046FCAA0C13,5847.0
B046FCAA0CB8,15137.1
B046FCAA0EF2,105632.69999999997
B046FCAA0F1B,7979.700000000001
B046FCAA0FD3,0.0
B046FCAA124F,55406.10000000001
B046FCAA12B2,10068.3
B046FCAA12C9,23943.3
B046FCAA13EB,51882.600000000006
B046FCAA141C,33427.2
B046FCAA1452,114212.40000000001
B046FCAA14FD,1122.3
B046FCAA1546,4330.5
B046FCAA1564,2229.0
B046FCAA1621,44277.00000000001
B046FCAA1659,143077.8
B046FCAA173E,9422.4
B046FCAA174F,0.0
B046FCAA18E9,136543.8
B046FCAA192F,113909.1
B046FCAA193C,83532.59999999998
B046FCAA1959,2170.2
B046FCAA1C30,0.0
B046FCAA1C39,14531.399999999998
B046FCAA1C7D,205406.40000000002
B046FCAA1F01,50569.49999999999
B046FCAA1F4D,16002.600000000002
B046FCAA1F73,4480.2
B046FCAA2002,34957.799999999996
B046FCAA2048,22080.899999999994
B046FCAA20DA,44576.399999999994
B046FCAA2111,0.0
B046FCAA2180,0.0
B046FCAA253A,0.0
B046FCAA27B9,0.0
B046FCAA5FFB,1626.6
B046FCAAF792,8345.4
B046FCAAF97A,39850.50000000001
B046FCAAF9C4,47079.6
B046FCAAFA40,41192.4
B046FCAAFA8B,116938.20000000003
B046FCAAFB63,25774.8
B046FCAAFC93,80.1
B046FCAAFC99,71471.69999999998
B046FCAAFCAB,11720.7
B046FCAAFCB3,1594.8
B046FCAAFCB4,4038.3
B046FCAAFCB5,0.0
B046FCAAFCB6,43692.0
B046FCAAFCB7,73.8
B046FCAAFCD0,45429.90000000001
B046FCAAFDC5,1867.2
B046FCAAFE95,174358.80000000002
B046FCAAFEBF,0.0
B046FCAAFEC9,5681.7
B046FCAAFF56,11146.500000000002
B046FCAAFFAA,1033.5
B046FCAB0062,3785.4
B046FCAB024C,0.0
B046FCAB02A5,117451.19999999994
B046FCAB0310,58993.8
B046FCAB0529,3885.6
B046FCAB0538,68558.40000000001
B046FCAB0707,47529.0
B046FCAB077F,36519.59999999999
B046FCAB0781,26006.4
B046FCAB07F9,2771.1
B046FCAB0983,0.0
B046FCAB09A5,32398.200000000008
B046FCAB09C5,3097.5
B046FCAB0B1A,118591.79999999996
B046FCAB0B90,69057.59999999999
B046FCAB0C81,26401.199999999997
B046FCAB0C97,44823.9
B046FCAB0DE9,10149.300000000001
B046FCAB0EE9,7845.3
B046FCAB0F40,14830.499999999998
B046FCAB0F45,47104.500000000015
B046FCAB103D,20257.5
B046FCAB10A3,10059.300000000001
B046FCAB10CD,0.0
B046FCAB11E6,47637.299999999996
B046FCAB125B,52178.09999999999
B046FCAB1291,0.0
B046FCAB12C6,461.70000000000005
B046FCAB12D2,89207.40000000001
B046FCAB13E8,67533.6
